,latitude,longitude,ch4,time
220,-25.18,136.72,1809.95,1562803750.0
221,-24.92,135.31,1820.7,1562803751.0
222,-24.83,134.83,1823.65,1562803751.0
223,-24.73,134.35,1813.48,1562803751.0
224,-24.63,133.85,1814.63,1562803751.0
225,-24.53,133.33,1803.63,1562803751.0
226,-24.41,132.79,1826.88,1562803752.0
227,-24.29,132.22,1817.44,1562803752.0
228,-24.15,131.61,1822.38,1562803752.0
229,-26.0,138.6,1834.64,1562803757.0
230,-25.82,137.57,1833.89,1562803757.0
231,-25.73,137.08,1829.17,1562803758.0
232,-25.65,136.6,1815.38,1562803758.0
233,-25.56,136.13,1829.18,1562803758.0
234,-25.47,135.66,1805.21,1562803758.0
235,-25.39,135.19,1829.28,1562803759.0
236,-25.29,134.71,1821.02,1562803759.0
237,-25.2,134.22,1820.12,1562803759.0
238,-25.1,133.72,1822.95,1562803759.0
239,-24.99,133.2,1836.8,1562803759.0
240,-24.88,132.66,1807.45,1562803760.0
241,-24.75,132.09,1807.48,1562803760.0
242,-24.62,131.47,1813.55,1562803760.0
243,-26.65,139.63,1839.86,1562803765.0
244,-26.46,138.49,1838.79,1562803765.0
245,-26.37,137.96,1836.23,1562803765.0
246,-26.29,137.46,1826.3,1562803765.0
247,-26.2,136.96,1826.46,1562803766.0
248,-26.12,136.48,1837.68,1562803766.0
249,-25.76,134.58,1810.67,1562803767.0
250,-25.46,133.07,1807.82,1562803767.0
251,-25.34,132.53,1828.93,1562803768.0
252,-25.22,131.95,1810.33,1562803768.0
253,-27.22,140.16,1861.16,1562803772.0
254,-27.12,139.53,1848.66,1562803773.0
255,-26.84,137.85,1852.34,1562803773.0
256,-26.67,136.85,1844.78,1562803774.0
257,-25.55,131.2,1837.04,1562803776.0
258,-27.69,140.06,1834.75,1562803780.0
259,-27.22,137.22,1860.93,1562803781.0
260,-27.14,136.73,1847.06,1562803782.0
261,-26.6,133.84,1830.98,1562803783.0
262,-28.16,139.95,1824.75,1562803788.0
263,-27.96,138.72,1832.97,1562803789.0
264,-27.07,133.7,1849.43,1562803791.0
265,-28.63,139.85,1847.64,1562803796.0
266,-28.53,139.21,1822.05,1562803797.0
267,-28.43,138.61,1838.48,1562803797.0
268,-28.34,138.05,1839.34,1562803797.0
269,-28.16,136.99,1838.28,1562803797.0
270,-27.63,134.07,1831.79,1562803799.0
271,-27.53,133.57,1823.35,1562803799.0
272,-27.43,133.06,1843.44,1562803799.0
273,-29.0,139.1,1809.94,1562803805.0
274,-28.9,138.5,1865.42,1562803805.0
275,-28.81,137.93,1832.74,1562803805.0
276,-28.72,137.39,1818.12,1562803805.0
277,-27.9,132.93,1834.59,1562803807.0
278,-27.79,132.4,1825.93,1562803807.0
279,-27.67,131.84,1819.85,1562803808.0
280,-29.56,139.64,1829.37,1562803812.0
281,-29.37,138.39,1827.03,1562803813.0
282,-29.1,136.76,1827.75,1562803813.0
283,-29.01,136.25,1842.3,1562803814.0
284,-28.92,135.76,1824.35,1562803814.0
285,-28.84,135.27,1830.22,1562803814.0
286,-28.56,133.81,1846.93,1562803815.0
287,-28.47,133.31,1865.58,1562803815.0
288,-28.36,132.79,1866.74,1562803815.0
289,-28.26,132.26,1840.29,1562803815.0
290,-28.01,131.11,1831.65,1562803816.0
291,-27.87,130.48,1823.56,1562803816.0
292,-29.93,138.88,1815.94,1562803821.0
293,-29.65,137.16,1807.91,1562803821.0
294,-29.57,136.64,1814.81,1562803821.0
295,-29.48,136.13,1812.65,1562803822.0
296,-29.03,133.67,1825.31,1562803823.0
297,-28.93,133.17,1821.72,1562803823.0
298,-28.83,132.65,1816.89,1562803823.0
299,-28.72,132.12,1830.22,1562803823.0
300,-28.6,131.56,1811.25,1562803824.0
301,-28.47,130.97,1817.27,1562803824.0
302,-28.33,130.33,1805.48,1562803824.0
303,-30.03,136.52,1821.05,1562803829.0
304,-29.86,135.51,1804.69,1562803830.0
305,-29.68,134.53,1838.67,1562803830.0
306,-29.59,134.04,1828.53,1562803831.0
307,-29.5,133.54,1821.65,1562803831.0
308,-29.4,133.04,1846.16,1562803831.0
309,-29.3,132.52,1842.69,1562803831.0
310,-29.19,131.98,1826.73,1562803831.0
311,-28.8,130.18,1821.4,1562803832.0
312,-30.15,134.4,1829.67,1562803838.0
313,-30.06,133.91,1823.83,1562803839.0
314,-29.97,133.41,1838.33,1562803839.0
315,-29.76,132.38,1836.26,1562803839.0
316,-29.53,131.27,1829.68,1562803840.0
317,-29.26,130.03,1837.87,1562803840.0
318,-31.44,139.22,1823.4,1562803844.0
319,-30.53,133.77,1816.77,1562803847.0
320,-30.33,132.76,1831.28,1562803847.0
321,-30.12,131.69,1837.03,1562803847.0
322,-29.87,130.53,1834.77,1562803848.0
323,-29.72,129.88,1815.33,1562803848.0
324,-31.62,137.25,1823.07,1562803853.0
325,-31.53,136.69,1802.73,1562803853.0
326,-32.18,137.72,1814.1,1562803861.0
327,-31.99,136.57,1814.75,1562803861.0
328,-30.93,130.83,1835.65,1562803864.0
329,-30.65,129.58,1844.82,1562803864.0
330,-32.74,138.23,1817.05,1562803869.0
331,-32.64,137.6,1808.84,1562803869.0
332,-32.11,134.37,1822.77,1562803870.0
333,-31.39,130.68,1813.38,1562803872.0
334,-31.26,130.07,1837.27,1562803872.0
335,-32.66,134.75,1826.0,1562803878.0
336,-31.57,129.27,1805.74,1562803880.0
337,-33.58,137.37,1785.77,1562803885.0
338,-32.86,133.09,1812.45,1562803887.0
339,-32.76,132.58,1806.81,1562803887.0
340,-34.24,138.58,1774.25,1562803892.0
341,-32.78,130.23,1832.6,1562803896.0
342,-34.33,135.96,1792.65,1562803901.0
343,-34.71,135.28,1783.72,1562803909.0
344,-34.53,134.22,1787.3,1562803910.0
345,-45.72,-39.53,1788.54,1562805590.0
346,-44.8,-39.87,1802.17,1562805606.0
347,-44.21,-39.45,1803.59,1562805614.0
348,-43.75,-39.61,1826.54,1562805622.0
349,-43.63,-39.03,1817.73,1562805622.0
350,-43.36,-37.87,1814.14,1562805623.0
351,-43.41,-40.36,1812.16,1562805630.0
352,-42.44,-38.23,1810.03,1562805639.0
353,-42.3,-37.64,1801.67,1562805639.0
354,-42.16,-37.04,1785.74,1562805639.0
355,-39.39,-38.11,1834.61,1562805687.0
356,-39.46,-40.5,1801.59,1562805694.0
357,-39.33,-39.96,1818.43,1562805695.0
358,-39.23,-41.74,1802.54,1562805702.0
359,-39.11,-41.2,1799.12,1562805702.0
360,-38.99,-40.66,1800.58,1562805702.0
361,-38.74,-39.57,1797.79,1562805703.0
362,-39.23,-44.19,1819.12,1562805709.0
363,-39.12,-43.58,1820.65,1562805709.0
364,-39.0,-43.0,1819.2,1562805710.0
365,-38.77,-41.89,1832.27,1562805710.0
366,-38.53,-40.81,1810.08,1562805710.0
367,-37.71,-37.41,1795.8,1562805712.0
368,-37.68,-39.34,1802.28,1562805719.0
369,-38.18,-43.84,1826.12,1562805725.0
370,-38.07,-43.27,1827.06,1562805726.0
371,-37.95,-42.71,1822.26,1562805726.0
372,-37.72,-41.64,1804.38,1562805726.0
373,-37.6,-41.11,1828.41,1562805726.0
374,-37.48,-40.58,1839.33,1562805727.0
375,-37.35,-40.04,1807.99,1562805727.0
376,-37.72,-43.97,1808.68,1562805733.0
377,-37.01,-40.73,1813.42,1562805735.0
378,-36.89,-40.2,1826.82,1562805735.0
379,-36.67,-41.4,1825.11,1562805742.0
380,-35.24,-37.62,1834.93,1562805752.0
381,-34.6,-37.12,1829.05,1562805760.0
382,-34.47,-38.58,1818.29,1562805768.0
383,-25.0,-44.71,1845.6,1562805942.0
384,-24.89,-44.25,1847.1,1562805943.0
385,-24.25,-41.76,1866.39,1562805944.0
386,-24.98,-46.71,1845.83,1562805950.0
387,-24.06,-42.94,1855.02,1562805951.0
388,-24.62,-47.31,1849.68,1562805957.0
389,-24.51,-46.82,1863.82,1562805957.0
390,-23.59,-43.06,1848.34,1562805959.0
391,-23.93,-46.45,1828.41,1562805966.0
392,-23.82,-45.99,1844.01,1562805966.0
393,-23.71,-45.53,1845.7,1562805966.0
394,-23.48,-44.61,1849.08,1562805967.0
395,-23.12,-43.19,1847.36,1562805967.0
396,-22.85,-42.16,1831.22,1562805968.0
397,-23.01,-44.73,1834.46,1562805975.0
398,-22.24,-41.73,1841.91,1562805976.0
399,-23.45,-48.69,1815.28,1562805981.0
400,-22.55,-44.85,1838.16,1562805983.0
401,-22.43,-44.39,1823.24,1562805983.0
402,-22.19,-43.44,1861.2,1562805983.0
403,-23.22,-49.96,1839.4,1562805988.0
404,-23.1,-49.36,1815.96,1562805989.0
405,-22.98,-48.79,1813.67,1562805989.0
406,-22.86,-48.26,1823.3,1562805989.0
407,-21.96,-44.51,1820.13,1562805991.0
408,-22.51,-48.9,1813.63,1562805997.0
409,-21.25,-43.69,1830.67,1562805999.0
410,-20.69,-41.53,1821.48,1562806000.0
411,-22.29,-50.17,1839.97,1562806004.0
412,-21.92,-48.47,1830.02,1562806005.0
413,-21.47,-46.56,1817.82,1562806006.0
414,-21.36,-46.11,1834.42,1562806006.0
415,-20.91,-44.29,1830.1,1562806007.0
416,-20.52,-42.8,1823.32,1562806008.0
417,-20.22,-41.66,1827.78,1562806008.0
418,-21.82,-50.27,1847.07,1562806012.0
419,-21.69,-49.67,1818.89,1562806013.0
420,-21.22,-47.6,1826.09,1562806013.0
421,-21.0,-46.68,1821.11,1562806014.0
422,-20.78,-45.78,1821.14,1562806014.0
423,-20.67,-45.33,1825.01,1562806015.0
424,-20.56,-44.87,1818.31,1562806015.0
425,-20.32,-43.93,1835.27,1562806015.0
426,-20.19,-43.44,1836.12,1562806015.0
427,-20.05,-42.92,1823.54,1562806016.0
428,-19.75,-41.79,1834.72,1562806016.0
429,-20.76,-47.71,1816.88,1562806021.0
430,-20.54,-46.79,1827.33,1562806022.0
431,-20.43,-46.34,1834.81,1562806022.0
432,-20.2,-45.44,1815.29,1562806023.0
433,-19.85,-44.05,1833.47,1562806023.0
434,-19.72,-43.56,1824.53,1562806023.0
435,-20.63,-49.32,1832.54,1562806029.0
436,-20.07,-46.9,1815.08,1562806030.0
437,-19.38,-44.17,1826.58,1562806031.0
438,-19.12,-43.17,1838.23,1562806032.0
439,-20.04,-48.9,1814.89,1562806037.0
440,-19.81,-50.08,1838.29,1562806045.0
441,-19.57,-49.01,1835.4,1562806045.0
442,-19.46,-48.51,1822.4,1562806045.0
443,-18.18,-43.41,1834.99,1562806048.0
444,-17.89,-42.29,1842.02,1562806048.0
445,-19.47,-50.77,1826.36,1562806052.0
446,-19.22,-49.63,1823.69,1562806053.0
447,-17.85,-44.05,1840.26,1562806055.0
448,-19.0,-50.87,1863.75,1562806060.0
449,-18.19,-47.35,1821.72,1562806062.0
450,-17.63,-45.12,1841.64,1562806063.0
451,-17.38,-44.16,1842.91,1562806063.0
452,-18.53,-50.97,1833.88,1562806068.0
453,-17.61,-47.01,1832.7,1562806070.0
454,-17.5,-46.58,1827.4,1562806070.0
455,-17.28,-45.69,1839.1,1562806071.0
456,-17.04,-44.77,1827.99,1562806071.0
457,-16.64,-43.24,1843.02,1562806072.0
458,-16.48,-42.66,1838.64,1562806072.0
459,-17.36,-48.01,1850.24,1562806078.0
460,-17.25,-47.57,1831.49,1562806078.0
461,-17.03,-46.69,1840.69,1562806078.0
462,-16.81,-45.8,1836.31,1562806079.0
463,-16.17,-43.36,1849.22,1562806080.0
464,-16.02,-42.78,1848.7,1562806080.0
465,-17.22,-49.53,1839.39,1562806085.0
466,-17.0,-48.58,1830.1,1562806085.0
467,-16.89,-48.12,1839.72,1562806086.0
468,-16.78,-47.68,1830.24,1562806086.0
469,-16.34,-45.92,1829.44,1562806087.0
470,-15.84,-44.01,1852.46,1562806088.0
471,-15.7,-43.48,1855.24,1562806088.0
472,-16.64,-49.15,1856.38,1562806093.0
473,-16.2,-47.35,1838.14,1562806094.0
474,-16.09,-46.91,1846.43,1562806094.0
475,-15.87,-46.03,1836.83,1562806095.0
476,-15.75,-45.58,1853.49,1562806095.0
477,-15.37,-44.13,1863.96,1562806096.0
478,-15.23,-43.6,1835.85,1562806096.0
479,-16.4,-50.25,1844.2,1562806101.0
480,-16.28,-49.74,1855.29,1562806101.0
481,-16.17,-49.26,1844.76,1562806101.0
482,-16.06,-48.79,1836.05,1562806101.0
483,-15.84,-47.89,1859.83,1562806102.0
484,-15.62,-47.02,1842.75,1562806102.0
485,-15.4,-46.15,1856.81,1562806103.0
486,-15.28,-45.7,1843.81,1562806103.0
487,-15.16,-45.23,1848.4,1562806103.0
488,-15.04,-44.75,1862.09,1562806103.0
489,-14.91,-44.25,1858.21,1562806104.0
490,-16.06,-50.89,1875.07,1562806109.0
491,-15.93,-50.35,1856.23,1562806109.0
492,-15.7,-49.36,1842.6,1562806109.0
493,-14.93,-46.26,1858.34,1562806111.0
494,-14.81,-45.81,1856.33,1562806111.0
495,-14.69,-45.35,1853.67,1562806111.0
496,-15.46,-50.46,1842.94,1562806117.0
497,-14.57,-46.81,1871.25,1562806119.0
498,-14.1,-44.98,1852.29,1562806119.0
499,-15.25,-51.67,1845.61,1562806124.0
500,-14.99,-50.56,1840.7,1562806125.0
501,-14.87,-50.05,1844.25,1562806125.0
502,-14.65,-49.11,1866.05,1562806125.0
503,-14.54,-48.66,1868.52,1562806126.0
504,-14.32,-47.79,1872.2,1562806126.0
505,-14.21,-47.36,1849.35,1562806126.0
506,-13.75,-45.58,1856.72,1562806127.0
507,-13.63,-45.1,1853.26,1562806127.0
508,-13.36,-44.07,1870.05,1562806128.0
509,-13.21,-43.5,1854.05,1562806128.0
510,-14.78,-51.77,1884.46,1562806132.0
511,-14.65,-51.2,1875.88,1562806133.0
512,-14.52,-50.66,1863.63,1562806133.0
513,-14.4,-50.16,1878.74,1562806133.0
514,-14.29,-49.68,1875.31,1562806133.0
515,-14.07,-48.77,1860.83,1562806134.0
516,-13.96,-48.33,1889.3,1562806134.0
517,-13.74,-47.47,1885.75,1562806134.0
518,-13.63,-47.03,1875.85,1562806135.0
519,-12.89,-44.19,1841.19,1562806136.0
520,-14.18,-51.3,1870.22,1562806141.0
521,-13.82,-49.78,1865.82,1562806141.0
522,-13.71,-49.32,1852.41,1562806141.0
523,-13.49,-48.44,1847.77,1562806142.0
524,-13.27,-47.57,1854.67,1562806142.0
525,-13.16,-47.14,1844.67,1562806143.0
526,-13.05,-46.71,1854.76,1562806143.0
527,-12.42,-44.3,1840.24,1562806144.0
528,-13.58,-50.87,1859.1,1562806149.0
529,-13.46,-50.36,1870.91,1562806149.0
530,-12.91,-48.11,1860.68,1562806150.0
531,-12.8,-47.68,1850.82,1562806150.0
532,-12.69,-47.25,1847.1,1562806151.0
533,-12.22,-45.44,1841.77,1562806151.0
534,-11.96,-44.42,1854.26,1562806152.0
535,-13.24,-51.5,1846.85,1562806157.0
536,-12.99,-50.47,1855.12,1562806157.0
537,-12.88,-49.99,1848.79,1562806157.0
538,-12.77,-49.53,1851.02,1562806157.0
539,-12.55,-48.65,1849.31,1562806158.0
540,-12.44,-48.22,1848.59,1562806158.0
541,-12.33,-47.79,1846.68,1562806158.0
542,-12.0,-46.49,1842.75,1562806159.0
543,-12.9,-52.17,1855.94,1562806164.0
544,-12.64,-51.07,1862.54,1562806165.0
545,-12.3,-49.64,1871.32,1562806165.0
546,-12.08,-48.76,1860.27,1562806166.0
547,-11.86,-47.9,1849.14,1562806166.0
548,-11.75,-47.47,1852.79,1562806167.0
549,-12.17,-51.17,1890.35,1562806173.0
550,-11.94,-50.2,1865.18,1562806173.0
551,-11.83,-49.74,1855.52,1562806173.0
552,-11.72,-49.3,1865.84,1562806174.0
553,-11.61,-48.87,1849.06,1562806174.0
554,-11.5,-48.44,1840.53,1562806174.0
555,-11.39,-48.01,1855.32,1562806174.0
556,-11.83,-51.8,1897.7,1562806181.0
557,-11.47,-50.3,1859.41,1562806181.0
558,-11.36,-49.85,1844.66,1562806181.0
559,-11.25,-49.41,1863.37,1562806182.0
560,-11.14,-48.97,1851.69,1562806182.0
561,-11.0,-50.41,1869.38,1562806189.0
562,-10.89,-49.95,1848.72,1562806189.0
563,-10.78,-49.51,1839.81,1562806190.0
564,-10.45,-48.23,1845.23,1562806190.0
565,-10.89,-52.01,1878.7,1562806197.0
566,-10.64,-50.99,1869.65,1562806197.0
567,-10.53,-50.51,1870.31,1562806197.0
568,-10.31,-49.62,1861.82,1562806198.0
569,-10.09,-48.76,1844.15,1562806198.0
570,-9.87,-47.91,1867.65,1562806199.0
571,-10.29,-51.58,1858.84,1562806205.0
572,-10.17,-51.09,1857.18,1562806205.0
573,-9.95,-50.16,1852.24,1562806205.0
574,-9.84,-49.72,1838.86,1562806206.0
575,-9.73,-49.29,1846.7,1562806206.0
576,-9.62,-48.86,1850.44,1562806206.0
577,-9.29,-47.59,1849.7,1562806207.0
578,-10.08,-52.77,1852.28,1562806212.0
579,-9.95,-52.21,1853.75,1562806213.0
580,-9.82,-51.69,1857.91,1562806213.0
581,-9.7,-51.19,1843.62,1562806213.0
582,-9.59,-50.72,1844.03,1562806213.0
583,-9.47,-50.27,1829.35,1562806213.0
584,-9.36,-49.83,1834.9,1562806214.0
585,-9.15,-48.97,1841.21,1562806214.0
586,-8.93,-48.12,1858.34,1562806215.0
587,-8.71,-47.26,1846.69,1562806215.0
588,-8.59,-46.81,1847.89,1562806215.0
589,-9.61,-52.87,1869.92,1562806220.0
590,-9.48,-52.31,1845.98,1562806221.0
591,-9.35,-51.79,1841.59,1562806221.0
592,-9.23,-51.29,1850.87,1562806221.0
593,-9.0,-50.37,1836.93,1562806221.0
594,-8.89,-49.93,1834.54,1562806222.0
